brand,model,milage,fuel_type,price,engine_hp,age
26,1423,7600,0,52000,510.0,10
4,964,106000,0,17800,414.0,14
22,1768,84786,0,32750,285.0,8
39,1125,14353,0,46599,375.0,3
14,641,20500,0,56000,400.0,3
36,332,90189,0,16000,241.0,8
4,51,105000,0,15550,300.0,12
50,1747,72922,0,17800,268.0,12
26,1388,53452,0,37050,380.0,6
43,428,69600,0,14490,520.0,11
53,1723,69423,0,34900,381.0,6
14,666,53500,0,69000,375.0,5
27,1282,75151,0,27899,306.0,9
27,788,26100,0,29900,301.0,10
9,398,19200,0,57000,455.0,3
3,1451,102000,0,15000,292.0,13
36,205,15889,0,29950,362.0,7
8,605,158000,3,23500,403.0,18
32,833,80300,0,22000,454.0,8
9,1559,68200,0,35500,355.0,8
8,373,106000,0,11000,270.0,13
27,1313,27000,0,34700,295.0,5
4,970,26500,0,55000,425.0,6
4,970,118500,0,12000,425.0,14
26,1408,5040,0,40000,375.0,2
26,1425,7800,0,43000,340.0,9
36,1444,3880,2,57999,496.0,3
42,1575,133409,0,6700,260.0,18
9,1616,102200,0,48000,420.0,6
17,581,158564,0,9500,166.0,17
22,1761,141525,0,15500,190.0,23
3,181,87600,0,22000,333.0,9
7,587,119550,0,29800,288.0,8
27,564,33000,2,48500,200.0,4
0,1628,123500,0,12800,290.0,20
14,646,164500,0,16500,290.0,9
8,376,64000,0,35900,640.0,16
11,1331,121250,0,6000,210.0,14
4,44,90000,0,12000,240.0,20
43,1178,66000,0,37500,300.0,15
50,895,36700,0,24500,300.0,21
22,842,1300,0,27890,293.0,3
53,403,114323,2,10000,147.0,14
28,1140,67073,0,38000,450.0,7
14,646,98000,3,15995,290.0,12
27,791,151544,0,12468,263.0,17
27,566,70000,0,22500,268.0,8
50,719,120000,0,20000,170.0,11
14,666,29500,0,33000,325.0,6
50,1748,62662,0,26999,268.0,6
26,1366,76000,0,21800,296.0,7
24,1675,2950,0,54500,291.0,2
27,1284,51400,0,49900,467.0,10
4,1,73000,0,16000,230.0,12
14,1702,66770,3,20000,169.0,8
20,1233,67000,2,31450,354.0,4
11,835,44000,3,30999,283.0,7
36,353,149000,0,3850,382.0,18
53,1653,100000,0,6000,236.0,17
9,398,76200,0,19980,455.0,7
53,282,90000,0,7500,268.0,10
14,1706,53000,0,42900,310.0,6
26,1430,66000,0,51500,380.0,6
36,213,9500,0,30000,603.0,8
10,1695,130000,3,7500,283.0,13
9,507,14206,0,32500,490.0,2
27,566,67726,0,17200,302.0,9
27,921,110450,0,58900,386.0,12
9,594,96653,0,8500,264.0,13
27,790,82000,0,30919,301.0,3
8,1500,152000,0,42950,292.0,15
14,662,51300,0,62450,450.0,4
26,1383,63250,0,25500,375.0,12
27,877,121886,0,38490,204.0,17
14,1114,110000,0,16000,435.0,10
26,1396,80124,0,22989,240.0,10
26,1395,79000,0,38000,240.0,8
24,722,77690,0,13600,200.0,4
39,57,10001,0,10999,306.0,17
36,1493,170000,0,6000,215.0,24
14,656,94634,0,53000,375.0,7
14,1114,110000,0,17000,412.0,11
10,34,85000,0,8995,150.0,24
17,459,190640,0,5995,140.0,21
36,551,16000,0,48000,402.0,6
43,158,132252,0,22995,480.0,17
11,443,29475,0,69900,707.0,7
18,850,184000,0,9995,242.0,17
4,44,87000,0,17900,240.0,10
22,954,134000,0,5500,210.0,16
54,619,121800,0,2300,140.0,24
4,131,27000,0,61000,445.0,4
44,27,83424,1,26000,350.0,11
3,190,143250,2,31000,335.0,9
14,677,12900,1,69000,450.0,4
8,1844,99982,0,24500,310.0,9
44,29,69600,0,35900,410.0,9
14,666,36000,0,36500,325.0,6
11,1330,153692,0,10500,500.0,17
27,1314,84421,0,24500,295.0,9
26,1391,56000,0,34900,518.0,9
8,600,2620,0,63500,420.0,3
36,772,28800,0,59500,362.0,6
14,560,26021,3,6800,255.0,15
3,1238,80800,0,12980,200.0,11
53,403,116500,2,13715,147.0,14
3,182,38000,0,31000,310.0,7
36,1481,60000,0,26000,429.0,10
22,1760,12500,2,79999,285.0,8
36,1445,40000,0,21500,536.0,13
4,44,106000,0,6399,240.0,12
36,1606,41500,1,62000,188.0,10
36,737,6758,0,77430,416.0,3
43,420,44000,0,57000,300.0,7
34,1014,72348,0,17200,140.0,17
14,656,107000,0,15000,365.0,15
14,1114,34988,0,30000,435.0,9
4,596,82000,0,17900,429.0,12
53,1517,143600,0,17500,362.0,12
36,546,184000,0,3600,302.0,18
14,666,52500,0,34000,325.0,7
4,131,19813,0,57850,523.0,6
31,492,86000,0,16500,172.0,17
4,970,27123,0,20950,425.0,9
4,973,1120,0,44900,503.0,5
9,275,152000,0,9999,295.0,21
20,1235,71097,0,29950,300.0,8
39,258,116000,0,11999,170.0,12
20,1258,69000,0,39777,400.0,3
3,166,105000,0,8500,211.0,13
14,639,12500,3,55000,310.0,4
34,1014,125800,0,8000,142.0,24
4,125,59300,0,32500,320.0,12
19,1578,110000,2,16000,199.0,9
4,43,126700,0,16000,230.0,14
22,813,4500,0,62999,285.0,2
14,677,40110,1,47995,450.0,3
19,1576,136991,0,12500,201.0,13
43,140,56578,0,29000,350.0,10
39,728,63300,0,33000,261.0,12
14,321,44000,0,22000,315.0,4
44,11,19000,0,25000,395.0,8
36,213,28200,0,92500,603.0,5
14,682,3763,1,47999,450.0,6
28,1000,87500,0,17900,240.0,10
3,185,34580,2,37000,335.0,6
4,113,43500,0,43550,445.0,10
36,546,95428,0,10000,302.0,13
9,1617,92000,0,22999,355.0,7
43,326,10900,0,65700,315.0,3
14,666,64517,3,34000,282.0,8
21,1824,50340,0,29000,247.0,7
14,661,45617,0,40100,400.0,5
27,878,133500,0,9000,204.0,18
9,401,73350,0,46750,455.0,6
53,1727,209500,0,16000,282.0,15
53,942,121800,0,5800,230.0,22
36,222,71200,0,24900,385.0,7
22,477,106700,0,7500,182.0,17
50,891,67500,0,55000,305.0,15
21,1829,41000,0,24500,380.0,7
15,1535,76100,0,31700,355.0,4
3,181,63398,0,26499,333.0,7
36,546,95816,0,16900,302.0,21
50,1747,73120,0,21495,268.0,10
4,131,38000,0,49999,445.0,6
53,1728,122961,0,14000,282.0,18
9,398,7000,0,50000,455.0,2
21,689,61308,0,28000,247.0,7
14,676,90400,0,2800,220.0,28
26,1380,112465,0,36500,340.0,9
9,1545,81000,3,32300,355.0,6
36,214,17900,0,91000,605.0,4
9,1611,134033,0,29995,355.0,27
36,1600,158366,1,2300,161.0,21
14,682,51830,1,27500,440.0,8
8,604,92000,0,70250,420.0,11
14,666,43000,0,46500,325.0,4
0,872,139804,0,10500,150.0,9
14,673,9142,1,71000,450.0,6
43,154,13250,0,75499,475.0,16
44,17,25000,0,19990,395.0,10
14,642,71964,0,28500,365.0,9
36,1602,88900,1,39100,188.0,9
4,48,26000,0,37000,248.0,6
43,1024,185520,0,7999,340.0,14
27,1314,62660,0,25500,295.0,7
53,863,59203,0,20900,295.0,6
27,788,63500,0,58000,301.0,7
22,1759,87500,0,12000,202.0,16
9,306,31000,2,47999,200.0,3
14,318,12000,0,41500,315.0,4
50,887,116500,0,20708,152.0,12
9,398,74000,0,26800,455.0,9
43,424,47850,0,52999,440.0,8
14,1708,65441,0,43000,310.0,6
27,790,51335,0,25800,301.0,8
4,964,64500,0,15000,333.0,24
39,1046,60930,0,23400,290.0,5
4,1774,42750,0,38000,228.0,5
26,1378,8228,0,78990,380.0,6
11,1601,135000,1,15000,154.0,25
14,671,92671,1,16500,440.0,9
27,927,28800,0,52590,383.0,4
4,973,1050,0,30000,503.0,3
14,1522,33000,0,49990,526.0,5
4,45,96680,0,12500,225.0,19
27,927,31150,0,42500,383.0,6
27,877,151896,0,12990,204.0,19
26,1425,19800,0,59000,340.0,4
14,671,28220,1,75000,475.0,4
36,770,72639,0,10500,302.0,11
14,1523,10400,0,47124,760.0,4
14,1708,18000,0,46900,275.0,6
14,731,84421,2,22000,188.0,12
9,1611,119500,0,13800,300.0,26
19,802,67686,0,18400,348.0,10
53,864,29000,0,39990,295.0,3
14,712,37060,0,29950,350.0,11
36,547,73091,0,15500,268.0,12
4,1794,41000,0,50000,335.0,5
4,53,48000,0,46000,320.0,6
27,788,45000,0,50000,301.0,7
36,228,23152,0,64600,630.0,5
50,894,67250,0,15500,305.0,11
54,823,89500,0,16999,220.0,9
20,1254,38400,0,21250,295.0,7
4,102,76500,0,15999,300.0,14
15,1861,4500,0,92888,420.0,2
36,547,82900,0,11970,302.0,16
36,756,87000,0,22500,335.0,13
24,1153,109580,0,19500,200.0,10
53,942,150000,0,6399,212.0,28
24,1675,56450,0,30000,291.0,8
14,656,31000,0,39000,375.0,6
39,57,74000,0,7899,287.0,20
11,443,12600,0,78500,717.0,4
26,1391,46000,0,85500,510.0,9
14,680,184000,1,58000,350.0,14
36,772,15000,2,42000,382.0,3
14,666,67500,0,30950,325.0,7
26,1416,57500,0,33700,340.0,8
36,334,122000,0,11900,248.0,17
34,1321,97700,0,22000,232.0,12
36,334,61300,0,29500,241.0,6
22,1765,52000,0,21500,285.0,11
14,656,19700,0,49900,375.0,5
20,742,135000,0,9500,328.0,16
27,917,64000,0,32500,471.0,4
44,4,1563,0,69250,395.0,2
9,399,79635,0,17550,200.0,24
3,1297,49000,0,49900,444.0,6
14,637,24500,0,41500,375.0,3
43,140,65000,0,43500,350.0,11
21,1839,44000,0,16600,290.0,25
14,666,98000,0,21000,375.0,9
22,816,12758,0,84500,285.0,6
3,1460,119850,0,18500,333.0,11
36,546,16813,0,39995,255.0,4
36,206,63000,0,65000,469.0,8
20,1253,127500,0,31000,295.0,11
24,913,8263,0,23999,420.0,6
54,819,136400,0,27500,170.0,7
53,1728,170000,0,4700,282.0,21
43,144,2950,0,51900,443.0,3
22,1761,132000,0,11500,190.0,23
36,334,96000,0,12900,241.0,11
27,1317,82975,2,18700,308.0,7
8,600,93971,0,24500,420.0,8
4,53,86500,0,21000,320.0,9
50,1157,96476,0,14999,175.0,10
36,215,7800,0,78000,563.0,3
4,67,54000,0,34000,240.0,8
27,788,89148,0,18500,301.0,12
27,879,107800,0,13000,260.0,10
9,508,10500,0,75000,490.0,3
9,1661,123500,0,23500,355.0,10
4,48,75000,0,20150,255.0,9
44,4,65000,2,40000,395.0,4
36,1484,222,0,84999,302.0,18
5,484,13500,0,74500,542.0,4
26,1428,10500,0,45000,247.0,5
26,1428,41550,0,30000,247.0,7
14,1706,105760,0,37899,310.0,9
4,1443,13700,0,44600,463.0,3
14,321,1025,0,45000,315.0,2
14,661,31500,0,56900,450.0,3
11,540,31917,0,44900,475.0,3
10,516,152000,0,6450,130.0,21
27,1313,61773,0,29995,295.0,8
36,215,24500,0,64000,577.0,8
44,1209,49750,0,35000,280.0,9
32,831,53500,0,60000,405.0,17
26,1417,58000,0,28000,380.0,6
21,694,54000,0,62000,550.0,5
3,166,68000,0,18500,211.0,13
36,756,40000,0,43000,362.0,7
14,1114,52044,0,31500,460.0,8
9,1552,167500,0,10995,295.0,18
36,1490,120800,0,14900,268.0,17
11,1331,148000,0,5800,210.0,18
3,164,56856,0,69995,220.0,7
4,47,45791,0,25000,248.0,6
3,165,72865,0,21000,220.0,7
43,1024,48000,0,33490,330.0,7
27,791,96700,0,23500,263.0,21
4,961,12000,0,42500,320.0,3
34,383,122000,0,23000,227.0,10
43,146,20500,0,46900,355.0,21
54,823,72393,0,32000,260.0,7
14,731,96419,2,18500,188.0,8
26,1387,6483,0,59950,380.0,7
4,53,79950,0,19995,320.0,9
14,734,80800,0,10500,175.0,9
26,1425,76000,0,13980,340.0,10
55,1814,110000,0,15550,240.0,12
14,656,81000,0,22800,365.0,12
8,370,23000,0,32000,321.0,6
14,666,51300,0,36000,325.0,7
9,398,12000,0,64995,455.0,3
9,398,26000,0,45000,455.0,8
11,1332,143000,0,8900,345.0,18
16,786,14750,0,18950,375.0,3
14,1119,152270,0,7700,210.0,18
3,189,70891,0,28750,333.0,9
26,1406,4900,0,91000,518.0,3
14,618,82900,0,16750,153.0,13
9,398,53900,0,14500,455.0,9
27,1308,149000,0,3999,220.0,22
34,1067,122000,0,20000,184.0,9
3,187,48000,2,30000,335.0,6
26,1388,56536,0,26990,380.0,8
17,459,190640,0,6299,140.0,21
17,1201,79635,0,20500,280.0,14
43,150,4786,0,74500,379.0,2
27,790,16200,0,64250,301.0,3
4,970,18000,0,53000,425.0,8
32,1264,14750,0,53500,424.0,6
9,1619,50000,0,25900,355.0,7
26,1427,64800,0,28900,518.0,5
14,1523,22000,0,73000,760.0,4
3,166,83500,3,18795,220.0,9
14,715,104500,0,28000,252.0,11
3,1460,80300,0,17000,333.0,10
4,96,2000,0,25000,300.0,24
14,629,14353,0,48950,365.0,10
9,397,70000,0,12500,312.0,14
36,551,53500,0,59000,402.0,11
36,549,85000,0,5230,329.0,12
42,706,173456,0,11000,200.0,20
4,964,80000,0,23500,414.0,17
26,1416,28000,0,45000,340.0,4
17,1448,101000,0,11500,240.0,17
14,1114,40570,0,36950,435.0,9
14,671,89500,1,40900,440.0,6
11,443,12700,0,41500,707.0,3
4,97,125575,0,26999,240.0,10
3,1454,123000,0,13999,333.0,10
31,466,68000,0,31000,189.0,7
19,150,61600,0,71000,400.0,12
36,205,53401,0,23999,362.0,7
11,456,44741,0,47500,485.0,6
4,968,30000,2,27900,382.0,3
26,1366,6204,2,63000,395.0,2
14,712,10500,0,21000,350.0,12
15,1533,149460,3,8700,295.0,19
1,1362,28644,0,59980,280.0,5
43,435,65000,0,33999,325.0,12
3,196,74000,0,21500,420.0,9
15,1528,51351,1,45900,475.0,4
44,12,41000,0,53500,395.0,5
14,713,104733,0,13600,160.0,8
53,1041,173452,0,7999,130.0,22
0,1628,77750,0,23000,280.0,19
3,169,111773,0,11000,211.0,13
14,1114,75466,0,21000,460.0,8
31,514,91877,0,18900,181.0,11
27,920,143500,0,11400,386.0,13
55,344,103000,0,13500,218.0,17
36,350,58800,0,15400,268.0,10
53,83,124756,0,16995,270.0,11
26,1372,115550,0,23000,340.0,8
19,797,1300,0,48000,311.0,3
9,594,131100,0,13500,264.0,13
43,431,66000,0,11500,275.0,14
50,291,59500,0,16500,210.0,21
9,1614,174421,0,9900,295.0,20
36,331,62600,0,23000,241.0,12
11,532,170000,0,6500,210.0,19
9,398,79000,0,29999,455.0,7
20,1258,60000,0,29500,400.0,5
39,1105,160000,0,10500,240.0,17
36,334,62378,0,23900,241.0,8
9,1621,2043,0,51000,420.0,2
17,460,111000,0,11500,115.0,22
14,640,116226,0,8500,290.0,10
36,347,42750,0,19600,208.0,9
17,250,156856,0,7100,190.0,17
4,102,69700,0,17000,300.0,9
17,460,41650,0,9000,158.0,13
42,707,150000,0,2000,310.0,24
15,1538,86000,1,62000,445.0,8
28,1138,115600,0,29900,380.0,9
53,942,61000,0,29000,381.0,9
14,666,65441,0,25925,375.0,7
53,1652,123921,0,9975,236.0,18
36,215,67000,0,44850,563.0,8
14,1704,112000,0,19000,169.0,9
27,880,125519,0,18000,306.0,13
20,1253,91239,0,13500,265.0,9
22,1765,79876,0,32950,285.0,9
53,84,142500,0,22500,270.0,11
50,1157,157530,0,12433,173.0,10
4,73,39000,0,21000,300.0,12
9,277,138450,0,9000,366.0,17
28,1012,37100,0,26500,240.0,6
39,57,117200,0,10500,306.0,17
3,1301,58600,0,53900,560.0,10
9,505,68816,0,26485,460.0,7
9,502,159890,0,15000,340.0,21
14,646,169000,0,18000,290.0,8
22,1768,94500,0,26500,285.0,12
34,1058,57000,0,19500,155.0,9
14,1703,74000,0,24999,169.0,7
53,410,212000,0,10900,263.0,17
22,1769,8100,0,28900,285.0,7
15,1535,23400,0,44850,420.0,5
9,1617,20200,0,27000,355.0,7
11,537,148000,0,15000,360.0,9
21,1823,16700,0,39500,247.0,6
43,421,110000,1,8999,240.0,14
14,656,152000,0,15500,365.0,12
43,150,36100,0,38900,430.0,7
32,809,4590,0,69900,424.0,5
3,179,90818,0,26000,252.0,7
14,666,85000,0,27499,375.0,7
28,1697,135603,0,19995,239.0,15
18,848,124250,0,7000,316.0,20
19,802,60000,0,17500,348.0,10
11,1337,143500,1,9950,385.0,20
36,350,93000,0,12000,268.0,17
22,1761,86250,0,61000,285.0,11
3,166,160000,0,22500,220.0,9
14,677,50000,3,42000,385.0,6
26,1391,1067,0,66000,518.0,7
8,609,123500,3,27000,403.0,11
43,148,156350,0,20000,315.0,22
3,1299,4100,2,70000,591.0,5
26,1388,70891,0,36800,380.0,6
54,826,55000,0,55000,292.0,8
14,666,49600,0,20995,365.0,11
4,97,86121,0,22500,240.0,10
34,387,20472,0,31999,227.0,3
27,1314,47700,0,29500,295.0,4
34,389,106000,0,25900,228.0,6
9,397,152000,0,5900,312.0,17
3,173,23827,0,48000,248.0,6
14,1704,119755,0,14945,169.0,10
53,860,159890,0,9995,270.0,16
27,920,90000,0,15000,386.0,10
9,1554,130000,0,16500,355.0,9
3,1247,81000,0,29500,310.0,7
7,585,71312,0,35700,288.0,6
28,1011,96000,0,9995,240.0,9
52,1076,27123,0,33333,271.0,4
4,980,27965,0,67900,560.0,9
4,44,56837,0,11000,230.0,12
36,546,74500,0,11900,302.0,11
42,706,63000,0,5700,200.0,24
14,646,163500,0,24900,290.0,10
43,148,124838,0,13999,300.0,15
36,1447,104000,0,10900,302.0,20
26,1374,57000,0,37300,340.0,7
4,970,22000,0,44999,425.0,5
14,1114,74595,0,34580,460.0,6
14,626,152000,1,9995,325.0,19
11,1331,157500,0,12900,210.0,18
15,1858,194500,3,21000,320.0,11
50,1157,84351,0,20784,175.0,8
53,1726,111000,0,19500,310.0,11
28,1001,95070,0,14500,240.0,9
36,757,86121,0,24500,382.0,14
27,566,95570,0,17000,272.0,15
14,666,69423,0,32500,325.0,5
53,1726,145000,0,8500,282.0,20
53,1517,158000,0,10995,381.0,17
31,854,37161,0,67800,189.0,5
9,398,78000,0,50500,455.0,7
14,666,44460,0,26000,375.0,7
14,646,169000,0,19600,290.0,9
8,600,10500,0,46900,420.0,4
27,877,131100,0,8500,204.0,17
11,451,55000,0,26000,485.0,6
14,1114,52675,0,28000,435.0,10
28,1004,87500,0,10200,365.0,10
36,205,41500,0,41500,362.0,7
14,646,169000,0,28000,290.0,8
4,975,12000,2,75499,382.0,2
9,400,74000,0,29995,455.0,6
36,551,53500,0,19600,402.0,11
43,312,52000,0,37500,332.0,17
27,1310,90000,0,12000,270.0,14
4,131,85500,0,34000,445.0,8
50,718,57800,0,14000,170.0,11
4,985,5182,0,75500,617.0,3
50,720,82000,0,12300,260.0,12
3,1239,75000,0,29500,335.0,8
36,546,38200,0,29000,302.0,8
9,1102,75000,0,13500,303.0,19
4,964,58000,0,44900,425.0,9
43,119,82300,0,30750,350.0,10
21,694,63250,0,43000,450.0,9
4,983,16307,0,75000,601.0,4
43,144,60000,0,56000,355.0,15
35,108,7100,0,69900,562.0,4
53,406,134000,0,9500,133.0,26
36,222,57000,0,27500,385.0,6
14,661,92000,0,22000,365.0,9
4,958,37000,0,41000,405.0,7
3,1465,5483,0,56900,450.0,6
34,1014,70000,0,13500,140.0,26
4,980,120000,0,36880,560.0,11
3,1496,28500,0,72000,349.0,7
14,1114,52500,0,36995,460.0,7
26,1419,4348,2,87000,395.0,2
9,594,100600,0,18995,264.0,9
14,1706,87004,0,18700,310.0,6
14,661,105000,0,16000,365.0,9
3,1644,118500,0,15000,220.0,13
28,1696,166200,0,6500,239.0,19
14,656,75000,0,26000,365.0,8
27,473,118500,3,11900,235.0,20
39,257,110450,0,8500,182.0,9
26,1384,141000,0,11500,340.0,20
36,1445,93000,0,6250,518.0,18
9,398,14000,0,33490,455.0,4
14,1114,25717,0,25500,412.0,13
14,318,11459,0,67900,275.0,3
14,654,60000,0,26600,411.0,9
34,388,96680,0,15900,273.0,11
4,105,54000,0,24700,445.0,11
17,1200,98000,0,20995,280.0,14
4,113,76474,0,28000,445.0,11
36,547,67280,0,25000,302.0,11
39,1105,187450,0,19500,240.0,20
14,1123,61454,0,37900,305.0,12
9,1617,102000,0,28900,355.0,9
32,806,29500,0,35500,345.0,10
22,813,17500,0,69790,285.0,4
14,681,52100,1,67000,475.0,5
34,1067,81500,0,19950,155.0,9
9,1617,81000,0,40500,355.0,7
43,1022,82300,0,32000,252.0,7
4,970,40000,0,31900,425.0,6
14,560,162000,3,10500,255.0,17
26,1384,79995,0,30990,375.0,10
19,801,66000,0,24700,210.0,8
14,712,120000,0,19800,350.0,9
43,425,22500,0,54599,453.0,3
27,788,51300,0,24999,301.0,7
14,321,11806,0,34000,275.0,2
14,1123,112630,0,6699,300.0,8
24,1594,86111,0,14500,173.0,15
53,942,120000,0,12500,230.0,23
43,140,29000,0,56000,350.0,11
14,630,63750,0,28500,365.0,7
36,772,49643,0,31300,362.0,9
53,408,102260,0,19995,210.0,12
53,1519,58000,3,38500,381.0,7
53,864,70780,0,28600,295.0,7
43,1175,66500,0,5000,300.0,15
14,1114,31600,0,45770,460.0,5
4,980,25500,0,49999,560.0,7
53,1726,119000,0,27750,381.0,9
7,1324,61750,0,14995,260.0,19
26,1430,44000,0,27000,380.0,7
19,1577,134000,2,15500,199.0,13
26,1394,106000,0,20500,240.0,9
14,626,119850,1,18500,325.0,22
